,id,neighbourhood,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,host_since,host_is_superhost,bathrooms,bedrooms,beds,bed_type,cleaning_fee,guests_included,extra_people,maximum_nights,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,price
0,727,Palermo,Entire home/apt,1,170,5/12/20,2.48,4,346,8/1/13,t,1.0,0,1,Real Bed,2092,1,0,365,t,f,strict_14_with_grace_period,f,f,2
1,6274,Colegiales,Private room,1,11,7/1/19,0.57,1,0,2/14/14,t,1.0,1,1,Real Bed,558,1,0,15,f,f,moderate,f,f,1
2,6025,Recoleta,Entire home/apt,3,2,11/23/19,0.08,19,360,10/19/17,f,1.0,0,1,Real Bed,1052,3,351,90,t,f,moderate,f,f,3
3,8931,Recoleta,Entire home/apt,2,1,11/1/19,0.13,1,267,2/1/19,f,1.0,1,3,Real Bed,0,4,0,1125,t,f,flexible,f,f,2
4,7524,San Nicolás,Entire home/apt,2,31,12/26/19,1.54,5,365,1/24/15,t,1.0,1,3,Real Bed,2092,1,0,365,t,f,moderate,f,f,3
5,5509,Caballito,Entire home/apt,1,14,3/16/20,0.51,1,360,5/17/16,f,1.0,1,1,Real Bed,699,1,0,7,f,f,moderate,f,f,1
6,10070,Núñez,Entire home/apt,8,5,7/15/19,0.35,1,0,9/16/14,f,1.0,2,2,Real Bed,900,1,0,1125,f,f,flexible,f,f,1
7,1102,Balvanera,Entire home/apt,5,12,5/30/19,0.18,58,334,6/10/12,f,1.0,1,2,Real Bed,2103,2,1052,1125,t,f,flexible,f,f,2
8,4510,Palermo,Entire home/apt,5,16,7/19/18,0.45,1,87,5/23/16,f,1.0,1,1,Real Bed,1402,1,701,1122,t,f,flexible,f,f,4
9,13794,Constitución,Private room,30,2,6/20/20,1.67,1,360,1/24/18,f,1.5,1,1,Real Bed,0,1,0,90,t,f,flexible,f,f,1
10,11935,Monserrat,Entire home/apt,1,41,3/18/20,4.66,2,361,9/18/19,t,1.0,2,4,Real Bed,1052,1,0,30,f,f,strict_14_with_grace_period,f,f,2
11,10253,Retiro,Entire home/apt,4,11,3/22/20,0.98,1,261,5/5/19,t,1.0,1,1,Real Bed,1046,1,0,1125,t,f,flexible,f,f,2
12,10018,Recoleta,Entire home/apt,3,5,10/16/19,0.37,1,0,4/30/14,f,1.0,1,3,Real Bed,2092,2,349,89,t,f,strict_14_with_grace_period,f,f,3
13,11553,Recoleta,Entire home/apt,5,5,3/17/20,0.87,17,341,4/13/16,t,1.0,1,1,Real Bed,1402,1,0,200,t,f,moderate,f,f,4
14,4126,Palermo,Entire home/apt,2,62,3/17/20,1.68,2,89,8/18/13,t,1.5,1,1,Real Bed,1630,1,0,1125,f,f,moderate,f,f,2
15,12295,Núñez,Entire home/apt,2,1,11/19/19,0.14,1,0,1/11/18,f,2.0,4,8,Real Bed,5248,1,0,60,f,f,moderate,f,f,4
16,10884,San Telmo,Entire home/apt,5,1,8/1/19,0.09,2,359,5/8/19,f,1.0,2,2,Real Bed,3528,1,0,31,t,f,flexible,f,f,3
17,7879,Palermo,Entire home/apt,3,46,2/29/20,2.41,1,180,11/30/15,f,1.0,0,1,Real Bed,1186,1,0,30,t,f,strict_14_with_grace_period,f,f,3
18,8476,Caballito,Private room,1,7,2/12/20,0.41,1,111,4/4/15,f,1.5,1,1,Real Bed,0,1,560,60,f,f,flexible,f,f,1
19,2743,San Telmo,Entire home/apt,3,33,3/2/20,0.85,1,264,1/25/16,t,1.5,0,1,Real Bed,500,3,685,1125,f,f,strict_14_with_grace_period,f,f,2
20,12952,Recoleta,Entire home/apt,5,1,2/16/20,0.23,2,268,9/26/17,f,1.0,1,1,Real Bed,1744,1,488,1125,f,f,strict_14_with_grace_period,f,f,3
21,9203,Palermo,Entire home/apt,7,51,5/31/20,3.87,1,64,6/5/12,t,1.0,1,1,Real Bed,1397,2,698,1125,t,f,strict_14_with_grace_period,f,f,1
22,958,Belgrano,Entire home/apt,5,17,2/23/19,0.23,1,359,1/12/14,f,1.5,2,3,Real Bed,1536,1,0,30,f,f,strict_14_with_grace_period,f,f,4
23,1810,Palermo,Entire home/apt,3,94,3/21/20,1.54,2,0,4/29/15,t,1.0,0,1,Real Bed,771,1,0,30,f,f,moderate,f,f,1
24,9187,Palermo,Private room,1,11,8/2/19,0.69,3,359,5/16/14,t,1.0,1,1,Real Bed,0,1,599,1125,t,f,moderate,f,f,1
25,9154,Recoleta,Entire home/apt,2,1,7/25/19,0.09,32,89,12/6/17,f,1.0,1,3,Real Bed,1395,1,0,1125,t,f,flexible,f,f,2
26,2487,Palermo,Entire home/apt,2,83,3/29/20,1.56,1,365,8/18/14,f,1.0,0,1,Real Bed,1325,1,0,1125,t,f,strict_14_with_grace_period,f,f,3
27,1699,Palermo,Entire home/apt,2,18,1/4/19,0.29,5,180,4/18/14,f,1.0,0,2,Real Bed,1255,2,1046,1125,f,f,strict_14_with_grace_period,f,f,3
28,13032,Palermo,Entire home/apt,1,3,1/5/20,0.51,12,364,12/14/19,f,1.0,0,2,Real Bed,697,3,697,1125,f,f,moderate,f,f,2
29,7361,Palermo,Private room,1,7,8/13/19,0.34,2,359,8/27/16,f,1.0,1,1,Real Bed,698,1,0,1125,t,f,strict_14_with_grace_period,f,f,1
30,2076,Colegiales,Entire home/apt,8,96,12/29/19,1.67,1,264,8/21/15,t,1.0,0,1,Real Bed,0,1,0,60,f,f,strict_14_with_grace_period,f,f,2
31,9292,Palermo,Entire home/apt,7,5,10/10/19,0.34,1,155,8/24/15,t,1.0,1,1,Real Bed,2095,1,0,90,f,f,strict_14_with_grace_period,f,f,2
32,9591,Palermo,Entire home/apt,3,10,9/20/19,0.69,62,85,3/7/12,t,1.0,2,2,Real Bed,3149,1,0,1125,f,f,strict_14_with_grace_period,f,f,4
33,9821,Villa Devoto,Entire home/apt,1,30,3/8/20,3.25,1,360,2/11/17,t,1.0,1,1,Real Bed,350,1,0,1125,t,f,flexible,f,f,2
34,5534,Recoleta,Entire home/apt,2,7,12/8/19,0.47,32,365,12/6/17,f,2.5,2,6,Real Bed,1395,1,0,1125,t,f,strict_14_with_grace_period,f,f,4
35,13609,Recoleta,Entire home/apt,7,2,3/1/20,0.48,1,359,2/5/20,f,1.0,2,3,Real Bed,1397,1,0,360,t,f,flexible,f,f,4
36,12720,Recoleta,Private room,1,1,12/24/19,0.16,1,174,5/19/18,f,1.0,1,1,Real Bed,0,1,0,6,f,f,flexible,f,f,1
37,6824,Puerto Madero,Entire home/apt,5,35,2/23/20,2.31,1,2,1/18/18,t,2.0,2,2,Real Bed,1399,4,2099,30,t,f,moderate,f,f,4
38,12209,Recoleta,Entire home/apt,2,10,3/5/20,1.25,4,22,8/6/12,f,2.0,2,4,Real Bed,701,3,560,60,t,f,flexible,f,t,3
39,5558,Balvanera,Entire home/apt,3,3,2/29/20,0.11,2,84,12/9/12,f,1.0,1,2,Real Bed,1746,3,1048,1125,f,f,flexible,f,f,3
40,8707,Caballito,Entire home/apt,3,11,3/12/20,0.73,2,31,7/7/16,t,1.5,2,3,Real Bed,1469,2,700,30,f,f,moderate,f,f,3
41,9574,Palermo,Entire home/apt,2,29,3/17/20,2.0,17,174,2/5/19,t,1.0,0,2,Real Bed,2235,1,0,90,t,f,strict_14_with_grace_period,f,f,3
42,13186,Balvanera,Entire home/apt,3,1,3/19/20,0.31,1,174,12/27/19,f,1.0,1,2,Real Bed,1500,1,0,30,f,f,flexible,f,f,2
43,10133,Palermo,Entire home/apt,2,13,9/28/19,0.99,1,264,8/26/16,t,1.0,2,3,Real Bed,698,1,0,1125,f,f,moderate,f,f,4
44,4441,Monserrat,Entire home/apt,2,15,11/22/18,0.43,1,89,7/7/17,f,1.0,1,1,Real Bed,1395,1,488,1125,f,f,strict_14_with_grace_period,f,f,2
45,6838,San Telmo,Entire home/apt,3,38,3/16/20,1.83,1,174,1/7/16,t,1.0,1,1,Real Bed,1399,1,700,1125,f,f,flexible,f,f,2
46,12250,Palermo,Entire home/apt,1,4,1/9/20,0.5,3,141,11/15/18,t,1.0,1,1,Real Bed,3143,1,349,1125,t,f,strict_14_with_grace_period,f,f,1
47,4810,Núñez,Entire home/apt,7,16,3/23/20,0.51,4,175,8/13/12,t,2.5,2,4,Real Bed,5598,1,0,1125,f,f,moderate,f,f,4
48,4754,Palermo,Entire home/apt,3,1,12/1/17,0.03,1,89,9/19/17,f,1.0,2,2,Real Bed,1744,1,0,1125,f,f,flexible,f,f,4
49,12559,San Nicolás,Entire home/apt,1,1,1/13/20,0.18,18,206,3/11/13,t,3.0,3,3,Real Bed,5254,6,1051,1125,f,f,moderate,f,f,4
50,6988,Belgrano,Entire home/apt,4,24,3/14/20,1.1,1,174,5/23/18,f,1.0,1,1,Real Bed,1048,1,0,30,f,f,strict_14_with_grace_period,f,f,2
51,9950,Palermo,Entire home/apt,1,1,4/21/19,0.07,1,0,3/2/14,f,1.0,1,1,Real Bed,0,1,0,3,f,f,flexible,f,f,2
52,7625,Retiro,Entire home/apt,3,47,4/2/20,2.42,1,358,10/23/18,f,1.0,1,3,Real Bed,694,2,405,30,t,f,strict_14_with_grace_period,f,f,2
53,414,Palermo,Entire home/apt,2,62,2/26/20,0.68,1,365,11/11/12,f,1.0,1,0,Real Bed,2441,2,697,1125,t,f,moderate,f,f,4
54,13062,Recoleta,Entire home/apt,2,7,3/3/20,1.34,1,0,4/23/18,t,2.5,1,2,Real Bed,900,1,0,1125,t,f,flexible,f,f,2
55,8361,San Telmo,Entire home/apt,2,38,3/1/20,2.34,1,360,1/17/16,f,1.0,1,0,Real Bed,1500,1,0,1125,t,f,moderate,f,f,3
56,8584,Palermo,Entire home/apt,14,5,6/25/19,0.33,1,362,8/24/16,f,1.0,2,3,Real Bed,1753,4,0,1125,f,f,moderate,f,f,2
57,343,Monserrat,Private room,3,2,5/16/18,0.03,2,359,5/21/12,f,1.0,1,1,Real Bed,1397,1,1397,1124,f,f,strict_14_with_grace_period,f,t,2
58,12625,San Nicolás,Entire home/apt,1,7,3/15/20,0.98,2,179,9/13/19,f,1.0,1,2,Real Bed,2092,2,0,1125,t,f,flexible,f,f,2
59,6848,Belgrano,Entire home/apt,3,13,1/7/19,0.6,1,80,6/22/17,f,1.0,0,1,Real Bed,1048,1,0,20,t,f,moderate,f,f,3
60,13302,Palermo,Entire home/apt,7,4,3/2/20,0.82,3,84,6/26/18,f,1.0,1,2,Real Bed,1000,1,0,1125,t,f,strict_14_with_grace_period,f,f,2
61,1081,Almagro,Entire home/apt,14,1,7/31/19,0.09,6,185,8/15/11,f,1.0,0,1,Real Bed,2099,1,0,365,f,f,strict_14_with_grace_period,t,f,1
62,4636,Palermo,Entire home/apt,3,43,3/20/20,1.43,2,86,1/9/17,t,1.5,1,1,Real Bed,631,1,0,90,f,f,strict_14_with_grace_period,f,f,3
63,5110,Villa Santa Rita,Entire home/apt,7,5,8/10/18,0.17,1,0,11/30/17,f,1.0,1,1,Real Bed,0,1,0,31,f,f,moderate,f,f,2
64,224,Retiro,Entire home/apt,3,106,1/20/20,1.06,16,255,2/7/12,t,1.5,1,2,Real Bed,2095,2,698,1125,f,f,strict_14_with_grace_period,t,t,2
65,7252,Palermo,Entire home/apt,2,63,5/29/20,3.43,2,125,5/2/13,t,1.0,1,1,Real Bed,1395,1,349,90,f,f,flexible,f,f,4
66,11876,Villa Crespo,Entire home/apt,1,13,3/10/20,1.42,35,84,8/7/14,t,1.5,1,2,Real Bed,1955,1,698,1125,f,f,strict_14_with_grace_period,f,f,3
67,2024,Retiro,Entire home/apt,5,28,11/5/18,0.47,1,174,8/5/15,f,1.0,0,2,Real Bed,3492,1,0,1125,f,f,moderate,f,f,3
68,11409,Villa Urquiza,Entire home/apt,2,8,4/3/20,0.78,2,329,1/2/18,t,1.0,1,1,Real Bed,500,1,0,1125,t,f,moderate,f,f,1
69,4220,Palermo,Entire home/apt,5,115,3/6/20,3.05,1,86,5/11/17,t,1.0,1,3,Real Bed,1751,2,350,60,f,f,strict_14_with_grace_period,f,f,3
70,11554,San Nicolás,Entire home/apt,1,22,3/17/20,2.28,4,173,3/27/13,f,1.0,0,1,Real Bed,1395,1,0,1125,t,f,moderate,t,t,3
71,9734,Palermo,Private room,2,12,12/29/19,0.87,1,84,3/15/15,f,1.0,1,1,Real Bed,0,1,0,7,f,f,flexible,f,f,1
